accumulation.total_token_count: shape=(), dtype=int64 | dimensions: scalar
microbatch_1_long.block_0.q: shape=(16, 4, 64, 16), dtype=float32 | dimensions: batch, attention head, query position, head channel
microbatch_1_long.block_0.k: shape=(16, 4, 64, 16), dtype=float32 | dimensions: batch, attention head, key position, head channel
microbatch_1_long.block_0.v: shape=(16, 4, 64, 16), dtype=float32 | dimensions: batch, attention head, value position, head channel
microbatch_1_long.block_0.attention_scores: shape=(16, 4, 64, 64), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_1_long.block_0.causal_mask: shape=(1, 1, 64, 64), dtype=bool | dimensions: broadcast batch, broadcast head, query position, key position
microbatch_1_long.block_0.masked_scores: shape=(16, 4, 64, 64), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_1_long.block_0.attention_probabilities: shape=(16, 4, 64, 64), dtype=float32 | dimensions: batch, attention head, query position, key position
microbatch_1_long.block_0.attended_values: shape=(16, 4, 64, 16), dtype=float32 | dimensions: batch, attention head, query position, head channel
microbatch_1_long.block_0.merged_heads: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_0.attention_output: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_0.residual_after_attention: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_0.ln2: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_0.mlp_up: shape=(16, 64, 256), dtype=float32 | dimensions: batch, sequence, expanded MLP channel
microbatch_1_long.block_0.gelu: shape=(16, 64, 256), dtype=float32 | dimensions: batch, sequence, expanded MLP channel
microbatch_1_long.block_0.mlp_down: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_0.residual_after_mlp: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_1.ln1: shape=(16, 64, 64), dtype=float32 | dimensions: batch, sequence, model channel
microbatch_1_long.block_1.qkv: shape=(16, 64, 192), dtype=float32 | dimensions: batch, sequence, concatenated Q/K/V channel
