step,correct_batch_loss,broken_batch_objective,correct_eval_loss,broken_eval_loss,correct_grad_norm,broken_grad_norm,correct_perplexity,broken_perplexity
1,5.685451083713108,5.711785316467285,5.494010148225008,5.511553022596571,0.7121014969683451,0.8531714122849138,243.23064467649002,247.53525655640962
2,5.495355606079102,5.511302471160889,5.308728677255136,5.344700707329644,0.7691299243994407,0.8860376910250445,202.09313939653742,209.49517484474794
3,5.343723191155328,5.385560989379883,5.114143089011863,5.17196782430013,0.7803636863947929,0.8756290626840055,166.35816574756876,176.2613477999128
4,5.179342004987928,5.253902435302734,4.9033256460119174,4.983816853276005,0.9246022890155438,1.003639928024701,134.73712339630202,146.03069703550955
5,4.876096778445774,4.999185800552368,4.675745716801396,4.77779374299226,1.1464032691978165,1.1234104795217408,107.31256204206393,118.84186489919315
6,4.731260829501682,4.804946422576904,4.444601659421568,4.560513814290364,1.1950626486153773,1.1899672526173297,85.16594602735957,95.63260460735124
7,4.430657386779785,4.609893083572388,4.228955233538592,4.346535823963307,1.299690132624571,1.254503672281594,68.6454762049923,77.21052824503082
8,4.245665815141466,4.305017709732056,4.042618928132234,4.150994371484827,1.2631742980638592,1.3492459858242145,56.97536196335248,63.49710863055139
9,4.07901128133138,4.149919748306274,3.8892146569711192,3.983864607634368,1.1549717822900925,1.2157878580319492,48.87248977924538,53.72425672545034
10,3.9485897488064237,4.065715551376343,3.763333073368779,3.845741837112992,1.1043758314180294,1.1797286272774532,43.09181506404764,46.79338454767391
11,3.8272856076558432,3.9803707599639893,3.658317283347801,3.73084290822347,1.0331777991380056,1.0732148074127736,38.79600523034147,41.714254637592504
12,3.7068550851609974,3.858919382095337,3.5692374971177845,3.634086502922906,0.9503249955163333,0.9200130344587046,35.48952196922281,37.86724547460041
13,3.640738699171278,3.6684978008270264,3.4930368352819374,3.5516544624611184,0.864298053386526,0.9392153940758018,32.88566456417868,34.8709624871271
14,3.5152122179667153,3.587134599685669,3.428387677228009,3.480548788000036,0.7144676428102488,0.8737556601410603,30.82689974711293,32.47754047063696
15,3.5237733523050943,3.571915626525879,3.3740537431504993,3.419381530196578,0.6204050912624786,0.7201404390856903,29.19664318215075,30.550514606221803
16,3.544214619530572,3.5884724855422974,3.328227784898546,3.366739414356373,0.5602272797351874,0.7153671933017626,27.888872799876687,28.983868435070697
17,3.370450019836426,3.5262064933776855,3.289713329739041,3.3223145096390336,0.5428393093026537,0.5820788165631514,26.83516970803515,27.72444485132022
18,3.297418620851305,3.296112895011902,3.25736430839256,3.284701276708532,0.6130830967045277,0.7214440979426603,25.980968998030082,26.701006910758004
