step,layer,learning_rate,lr_multiplier,warmup_active,gradient_norm,update_norm,weight_norm,update_to_weight_ratio,peak_lr_counterfactual_ratio
1,input,7.499999999999999e-06,0.05,True,0.8068981845768268,0.000689404511034896,16.08404824716316,4.286262391413122e-05,0.0008572524782826243
1,hidden_norm,7.499999999999999e-06,0.05,True,0.13758630599644397,0.00016982031673280936,16.0,1.0613769795800585e-05,0.0002122753959160117
1,hidden,7.499999999999999e-06,0.05,True,1.4817952442454674,0.0019237841871855056,15.981499576695175,0.00012037569928611957,0.0024075139857223913
1,output_norm,7.499999999999999e-06,0.05,True,0.18830763236069564,0.0001698204130162733,16.0,1.0613775813517082e-05,0.00021227551627034163
1,output,7.499999999999999e-06,0.05,True,2.010595028617889,0.00038023265911277254,3.148671073142008,0.00012075972697057383,0.0024151945394114763
2,input,1.4999999999999999e-05,0.1,True,0.7624598182669495,0.0010568949044539664,16.084059107405633,6.571070756431982e-05,0.0006571070756431982
2,hidden_norm,1.4999999999999999e-05,0.1,True,0.1330336390336552,0.0002626278713719565,15.999993429487782,1.6414248701373635e-05,0.00016414248701373635
2,hidden,1.4999999999999999e-05,0.1,True,1.3888054803387222,0.002954186307755243,15.981498847491878,0.00018485039081418014,0.0018485039081418014
2,output_norm,1.4999999999999999e-05,0.1,True,0.1594439811274408,0.0002648977943025045,15.999952123398671,1.6556161684703565e-05,0.00016556161684703563
2,output,1.4999999999999999e-05,0.1,True,1.779029154600896,0.0005966320536176673,3.1486217743183413,0.00018948990904022912,0.0018948990904022911
3,input,2.2499999999999998e-05,0.15,True,0.7717691584299207,0.0014167439916754866,16.084070708233963,8.808367094222042e-05,0.0005872244729481362
3,hidden_norm,2.2499999999999998e-05,0.15,True,0.13105680422261734,0.000361592444535019,15.999981121536587,2.259955444874255e-05,0.00015066369632495033
3,hidden,2.2499999999999998e-05,0.15,True,1.4231545027700712,0.003948066294496291,15.981497099610792,0.0002470398279891088,0.0016469321865940588
3,output_norm,2.2499999999999998e-05,0.15,True,0.16694593727272097,0.00037097393360543995,15.99986589049787,2.31860651923187e-05,0.00015457376794879134
3,output,2.2499999999999998e-05,0.15,True,1.8470778252483133,0.0008096962365963691,3.14852903840945,0.00025716651386051856,0.0017144434257367904
4,input,2.9999999999999997e-05,0.2,True,0.771801892130832,0.001758749597231384,16.08408170811599,0.00010934721852003048,0.0005467360926001523
4,hidden_norm,2.9999999999999997e-05,0.2,True,0.14112057287927232,0.0004427850477138479,15.999976677997457,2.767410582058839e-05,0.00013837052910294193
4,hidden,2.9999999999999997e-05,0.2,True,1.453688546898636,0.004907545807033393,15.981499229392359,0.00030707668514651525,0.0015353834257325761
4,output_norm,2.9999999999999997e-05,0.2,True,0.17005375967266478,0.0004518763708707142,15.999740948035466,2.8242730450345075e-05,0.00014121365225172537
4,output,2.9999999999999997e-05,0.2,True,1.8281614095294163,0.0010147500884364223,3.148389040842094,0.00032230771841494177,0.0016115385920747087
5,input,3.75e-05,0.25,True,0.710391225320543,0.002082454546339869,16.08409816398906,0.00012947288216645612,0.0005178915286658245
5,hidden_norm,3.75e-05,0.25,True,0.11389272210980744,0.0005324407546180195,15.999976835900107,3.327759534147263e-05,0.00013311038136589053
5,hidden,3.75e-05,0.25,True,1.3111097097056192,0.005823045901001663,15.981510206124073,0.00036436142929535453,0.0014574457171814181
5,output_norm,3.75e-05,0.25,True,0.12462039088976695,0.0005385351250407212,15.999584418484046,3.365931957698606e-05,0.00013463727830794424
5,output,3.75e-05,0.25,True,1.7362845371069648,0.0012170805399755178,3.1482188607287758,0.0003865933703522054,0.0015463734814088216
6,input,4.4999999999999996e-05,0.3,True,0.8177469600443836,0.0024444943456760596,16.084121764365413,0.000151981835345954,0.0005066061178198467
6,hidden_norm,4.4999999999999996e-05,0.3,True,0.12947429632961868,0.0006238958194134791,15.999970855225106,3.899355974200001e-05,0.00012997853247333338
6,hidden,4.4999999999999996e-05,0.3,True,1.4592276636603023,0.006807636602475551,15.981509756596745,0.0004259695552021009,0.0014198985173403363
6,output_norm,4.4999999999999996e-05,0.3,True,0.1732878597060574,0.0006359596290980578,15.999393596095615,3.974898331479595e-05,0.00013249661104931983
6,output,4.4999999999999996e-05,0.3,True,1.9410916119501687,0.00142965157871426,3.148012766966494,0.0004541441488790114,0.0015138138295967048
7,input,5.2499999999999995e-05,0.35,True,0.7556281966868209,0.0027707429811364447,16.08414203563992,0.00017226551313690935,0.0004921871803911696
7,hidden_norm,5.2499999999999995e-05,0.35,True,0.11765209442926378,0.0007069691167667828,15.999972922451413,4.418564457535754e-05,0.00012624469878673582
7,hidden,5.2499999999999995e-05,0.35,True,1.3712601942992342,0.0077501134914284816,15.981522936295182,0.0004849421123582296,0.0013855488924520846
7,output_norm,5.2499999999999995e-05,0.35,True,0.13525722394028095,0.0007154227972126786,15.999166927245687,4.471625306904909e-05,0.000127760723054426
7,output,5.2499999999999995e-05,0.35,True,1.7971976413769726,0.0016328518202268153,3.1477679037578636,0.0005187332326114281,0.001482094950318366
8,input,5.9999999999999995e-05,0.4,True,0.76259064993441,0.0031195822615017192,16.084166226222756,0.00019395361982865614,0.00048488404957164035
8,hidden_norm,5.9999999999999995e-05,0.4,True,0.12112437171309567,0.0007931094081919544,15.999975412530171,4.956941418615188e-05,0.0001239235354653797
8,hidden,5.9999999999999995e-05,0.4,True,1.390934388584142,0.00871313246560068,15.981543520222843,0.0005451996832831066,0.0013629992082077665
8,output_norm,5.9999999999999995e-05,0.4,True,0.15461379147694163,0.0008012940232204183,15.99891309819574,5.008427874458443e-05,0.00012521069686146106
8,output,5.9999999999999995e-05,0.4,True,1.8147034878160997,0.0018351338541056615,3.147491999742762,0.0005830463919386112,0.001457615979846528
9,input,6.75e-05,0.45,True,0.7247552500255201,0.003443629446441984,16.084183539603902,0.00021410035753215416,0.00047577857229367593
9,hidden_norm,6.75e-05,0.45,True,0.11130443753818753,0.000872843898960282,15.999975382196851,5.455282762069085e-05,0.00012122850582375743
9,hidden,6.75e-05,0.45,True,1.30803516532652,0.009645350060662262,15.981576992307385,0.0006035293053560973,0.0013411762341246605
9,output_norm,6.75e-05,0.45,True,0.1372479192956211,0.0008683436594770214,15.998621910810085,5.427615355359399e-05,0.0001206136745635422
9,output,6.75e-05,0.45,True,1.726526380172104,0.002041466014321285,3.1471894389089754,0.0006486632133046915,0.0014414738073437589
10,input,7.5e-05,0.5,True,0.7222458870288677,0.0037607841082440735,16.08420004195083,0.00023381853610594198,0.00046763707221188396
10,hidden_norm,7.5e-05,0.5,True,0.10700137984715376,0.0009502429544675717,15.99997775925977,5.939026720944231e-05,0.00011878053441888462
10,hidden,7.5e-05,0.5,True,1.3504182848520034,0.010586747390082253,15.9816230468098,0.0006624325551337257,0.0013248651102674514
10,output_norm,7.5e-05,0.5,True,0.13478405681420144,0.0009452566079411897,15.998300942933207,5.9084812275564165e-05,0.00011816962455112833
10,output,7.5e-05,0.5,True,1.7591977028666688,0.0022498307349495886,3.1468579296255808,0.0007149451247127886,0.0014298902494255773
11,input,8.25e-05,0.55,True,0.7684143522043165,0.004146837480382154,16.084217809056938,0.00025782027634860125,0.0004687641388156386
11,hidden_norm,8.25e-05,0.55,True,0.12973265392455766,0.0010584581452102693,15.999975538318305,6.61537352151177e-05,0.00012027951857294125
11,hidden,8.25e-05,0.55,True,1.4054410357929852,0.011657913563644609,15.981661179774985,0.000729455682516775,0.001326283059121409
11,output_norm,8.25e-05,0.55,True,0.1615269639076719,0.0010666449106309446,15.997942260198322,6.667388175819819e-05,0.00012122523956036032
