width,learning_rate,seed,steps,validation_loss
256,0.00075,20261412,80,0.7903413772583008
256,0.00075,20261413,80,0.7784092575311661
256,0.00075,20261414,80,0.7827521711587906
256,0.00075,20261415,80,0.777028039097786
256,0.00075,20261416,80,0.7725441604852676
256,0.0010606601717798214,20261412,80,0.712338924407959
256,0.0010606601717798214,20261413,80,0.6974269598722458
256,0.0010606601717798214,20261414,80,0.7082018852233887
256,0.0010606601717798214,20261415,80,0.7026964277029037
256,0.0010606601717798214,20261416,80,0.6993640661239624
256,0.0015,20261412,80,0.6696508526802063
256,0.0015,20261413,80,0.6514588445425034
256,0.0015,20261414,80,0.6659730821847916
256,0.0015,20261415,80,0.6618647277355194
256,0.0015,20261416,80,0.6609418243169785
256,0.002121320343559643,20261412,80,0.6580258458852768
256,0.002121320343559643,20261413,80,0.6358393281698227
256,0.002121320343559643,20261414,80,0.6540571600198746
256,0.002121320343559643,20261415,80,0.6439794450998306
256,0.002121320343559643,20261416,80,0.6494437456130981
256,0.003,20261412,80,0.6671420931816101
256,0.003,20261413,80,0.6428298950195312
256,0.003,20261414,80,0.6675005257129669
256,0.003,20261415,80,0.6463890373706818
256,0.003,20261416,80,0.6561039686203003
256,0.004242640687119286,20261412,80,0.68449267745018
256,0.004242640687119286,20261413,80,0.6570713669061661
256,0.004242640687119286,20261414,80,0.6885550320148468
256,0.004242640687119286,20261415,80,0.6562651991844177
256,0.004242640687119286,20261416,80,0.676207885146141
256,0.006,20261412,80,0.697973370552063
256,0.006,20261413,80,0.6745203584432602
256,0.006,20261414,80,0.6997531801462173
256,0.006,20261415,80,0.6674500107765198
256,0.006,20261416,80,0.6952171921730042
512,0.000375,20261412,80,0.6924405097961426
512,0.000375,20261413,80,0.7141798287630081
512,0.000375,20261414,80,0.6880486905574799
512,0.000375,20261415,80,0.7022484391927719
512,0.000375,20261416,80,0.6916106045246124
512,0.0005303300858899107,20261412,80,0.6437480300664902
512,0.0005303300858899107,20261413,80,0.6594993025064468
512,0.0005303300858899107,20261414,80,0.6330150365829468
512,0.0005303300858899107,20261415,80,0.6471027284860611
512,0.0005303300858899107,20261416,80,0.6342349946498871
512,0.00075,20261412,80,0.6224940717220306
512,0.00075,20261413,80,0.6328187435865402
512,0.00075,20261414,80,0.6025338172912598
512,0.00075,20261415,80,0.6176799237728119
512,0.00075,20261416,80,0.6045906841754913
512,0.0010606601717798214,20261412,80,0.6216366142034531
512,0.0010606601717798214,20261413,80,0.6307805776596069
512,0.0010606601717798214,20261414,80,0.5936538726091385
512,0.0010606601717798214,20261415,80,0.61420938372612
512,0.0010606601717798214,20261416,80,0.5981235057115555
512,0.0015,20261412,80,0.635846421122551
512,0.0015,20261413,80,0.6488178372383118
512,0.0015,20261414,80,0.6023393273353577
512,0.0015,20261415,80,0.6330651342868805
512,0.0015,20261416,80,0.6124426424503326
512,0.002121320343559643,20261412,80,0.661594808101654
512,0.002121320343559643,20261413,80,0.6796500086784363
512,0.002121320343559643,20261414,80,0.6201104372739792
512,0.002121320343559643,20261415,80,0.6608678996562958
512,0.002121320343559643,20261416,80,0.6432880163192749
512,0.003,20261412,80,0.6861393451690674
512,0.003,20261413,80,0.7080402374267578
512,0.003,20261414,80,0.640760600566864
512,0.003,20261415,80,0.6902903467416763
512,0.003,20261416,80,0.6759129613637924
1024,0.0001875,20261412,80,0.6304744929075241
1024,0.0001875,20261413,80,0.6376239508390427
1024,0.0001875,20261414,80,0.6317823380231857
1024,0.0001875,20261415,80,0.6447925418615341
1024,0.0001875,20261416,80,0.6644822061061859
1024,0.00026516504294495536,20261412,80,0.5913845002651215
1024,0.00026516504294495536,20261413,80,0.5970759838819504
1024,0.00026516504294495536,20261414,80,0.5962589979171753
1024,0.00026516504294495536,20261415,80,0.6107380241155624
1024,0.00026516504294495536,20261416,80,0.6244117617607117
1024,0.000375,20261412,80,0.5769103318452835
1024,0.000375,20261413,80,0.5789883881807327
1024,0.000375,20261414,80,0.5849898159503937
1024,0.000375,20261415,80,0.5974438488483429
1024,0.000375,20261416,80,0.6062358170747757
1024,0.0005303300858899107,20261412,80,0.5854136943817139
1024,0.0005303300858899107,20261413,80,0.5831321626901627
1024,0.0005303300858899107,20261414,80,0.5940718203783035
1024,0.0005303300858899107,20261415,80,0.6016885638237
1024,0.0005303300858899107,20261416,80,0.6063331663608551
1024,0.00075,20261412,80,0.611735612154007
1024,0.00075,20261413,80,0.60669906437397
1024,0.00075,20261414,80,0.6198456883430481
1024,0.00075,20261415,80,0.6223878264427185
1024,0.00075,20261416,80,0.6231760382652283
1024,0.0010606601717798214,20261412,80,0.6490770280361176
1024,0.0010606601717798214,20261413,80,0.6455270498991013
1024,0.0010606601717798214,20261414,80,0.6548506617546082
1024,0.0010606601717798214,20261415,80,0.6595072150230408
1024,0.0010606601717798214,20261416,80,0.6498906314373016
1024,0.0015,20261412,80,0.6849301755428314
1024,0.0015,20261413,80,0.691764235496521
1024,0.0015,20261414,80,0.6906643509864807
1024,0.0015,20261415,80,0.7066985666751862
1024,0.0015,20261416,80,0.6815233826637268
