condition,seed,step,layer,learning_rate,lr_multiplier,warmup_active,gradient_norm,update_norm,weight_norm,update_to_weight_ratio,peak_lr_counterfactual_ratio
warmup,20261122,1,input,7.499999999999999e-06,0.05,True,0.761287752373605,0.0006893938117598762,16.074357147346888,4.288779983177507e-05,0.0008577559966355013
warmup,20261122,1,hidden_norm,7.499999999999999e-06,0.05,True,0.12989169444723941,0.0001698190999059395,16.0,1.0613693744121218e-05,0.00021227387488242434
warmup,20261122,1,hidden,7.499999999999999e-06,0.05,True,1.431701630713846,0.001923803206378983,15.987113217722117,0.00012033462077733952,0.0024066924155467903
warmup,20261122,1,output_norm,7.499999999999999e-06,0.05,True,0.17067132429125245,0.00016982024607010117,16.0,1.0613765379381323e-05,0.00021227530758762645
warmup,20261122,1,output,7.499999999999999e-06,0.05,True,1.9516102164699431,0.00038023130186955314,3.179239732702873,0.00011959818504982461,0.002391963700996492
warmup,20261122,2,input,1.4999999999999999e-05,0.1,True,0.7623629790087624,0.0010638447376521433,16.074355246605617,6.618273152055619e-05,0.0006618273152055619
warmup,20261122,2,hidden_norm,1.4999999999999999e-05,0.1,True,0.11560695925417673,0.00025966273487599244,16.000002817220423,1.6228918072222063e-05,0.0001622891807222206
warmup,20261122,2,hidden,1.4999999999999999e-05,0.1,True,1.4243505690304061,0.002975931640587399,15.987124332434925,0.000186145524279797,0.00186145524279797
warmup,20261122,2,output_norm,1.4999999999999999e-05,0.1,True,0.16277126304796144,0.00026063364766247505,15.999953062174606,1.6289650766453653e-05,0.00016289650766453651
warmup,20261122,2,output,1.4999999999999999e-05,0.1,True,1.9026546767148576,0.0006019901657375456,3.1791912772389437,0.00018935323899742218,0.0018935323899742218
warmup,20261122,3,input,2.2499999999999998e-05,0.15,True,0.765592020059185,0.0014193527818387316,16.074349953261887,8.829923362161899e-05,0.0005886615574774599
warmup,20261122,3,hidden_norm,2.2499999999999998e-05,0.15,True,0.12086098338442924,0.0003499148556986308,16.000003536505655,2.1869673647275393e-05,0.0001457978243151693
warmup,20261122,3,hidden,2.2499999999999998e-05,0.15,True,1.4086014975379928,0.003965305730226825,15.987154420394821,0.0002480307393020663,0.0016535382620137752
warmup,20261122,3,output_norm,2.2499999999999998e-05,0.15,True,0.16811648302012355,0.00036839978545076074,15.999870647480082,2.3025172738429752e-05,0.00015350115158953168
warmup,20261122,3,output,2.2499999999999998e-05,0.15,True,1.9366663045340247,0.0008222414731456527,3.1790917721001946,0.00025864037029747576,0.0017242691353165052
warmup,20261122,4,input,2.9999999999999997e-05,0.2,True,0.7552660941569693,0.001773377203042331,16.07434528888053,0.00011032344840004583,0.0005516172420002291
warmup,20261122,4,hidden_norm,2.9999999999999997e-05,0.2,True,0.12721531464954325,0.00044013417194629516,16.000016894971036,2.750835669958784e-05,0.0001375417834979392
warmup,20261122,4,hidden,2.9999999999999997e-05,0.2,True,1.4013368784343603,0.004933059524808749,15.987189518366954,0.0003085632730594318,0.001542816365297159
warmup,20261122,4,output_norm,2.9999999999999997e-05,0.2,True,0.1626527922915624,0.00046660742730543015,15.99974998103741,2.9163419919588998e-05,0.00014581709959794498
