step,maximum_relative_gap
1,0.9499977294662011
2,0.8999363112540063
3,0.8497509114057746
4,0.7994283355040492
5,0.748958309552482
6,0.698329559436603
7,0.647481786586745
8,0.596557005685237
9,0.5454033946922362
10,0.49407651470519276
11,0.4426414719080544
12,0.3909525956210001
13,0.3392565433407755
14,0.28750778664566695
15,0.23560060105389252
16,0.18368172582592404
17,0.13163555458708953
18,0.07962306547808451
19,0.027606878997291497
20,0.04690513946208906
21,0.04963891284469062
22,0.052505662000478646
23,0.05428704300513468
24,0.056501234426280626
25,0.05610369380447941
26,0.056240340279086275
27,0.0566669563646778
28,0.05686881955153865
29,0.05834414085063474
30,0.05782328879608338
31,0.05627640608456
32,0.05748848247903935
33,0.057642316208587514
34,0.05677108561020294
35,0.0566722300162508
36,0.056593765382796486
37,0.05562026560238674
38,0.055874175068276556
39,0.054403154768196495
40,0.05253837517558435
41,0.049692827431635125
42,0.04968769317299935
43,0.049342846106732
44,0.04756283910179968
45,0.0469498895816792
46,0.04445161532806159
47,0.0436301708766525
48,0.040722336458399656
49,0.040041657067029786
50,0.041404717973538736
51,0.04171322646080019
52,0.04044260266931872
53,0.04098494306009717
54,0.03791129572650792
55,0.03720405918213248
56,0.03612340896430677
57,0.03581748344891815
58,0.03567611494068215
59,0.035536078932179894
60,0.03500271921048415
61,0.03500553618103524
62,0.034154637757951946
63,0.03448441930045193
64,0.03466531522563094
65,0.034497341723373334
66,0.03390116318373211
67,0.033917198862678306
68,0.03345583721746775
69,0.033815720572457096
70,0.03398335340242643
71,0.03392036816591374
72,0.0333975245107733
73,0.0334806881653884
74,0.03322963105521491
75,0.033066210795070626
76,0.03288234836222802
77,0.03345077156423477
78,0.03320063606058584
79,0.03282060147656407
80,0.03230944977739296
81,0.03223170064007962
82,0.032145956996609625
83,0.03157385233575137
84,0.03100306738673459
85,0.03052695717710845
86,0.030241675262343705
87,0.03070293753196751
88,0.030334046581502353
89,0.030311875616799062
90,0.03010662868607594
91,0.030572601593876928
92,0.0310374849169594
93,0.03055578183421449
94,0.030210803038662134
95,0.02963907165708822
96,0.02878870703825476
97,0.028985267809542355
98,0.028972868011702662
99,0.02869472910459195
100,0.028242524785225702
101,0.028140057751094037
102,0.02820630413112144
103,0.027514071553846987
104,0.027208392719872944
105,0.02656350606647939
106,0.025825130035299397
107,0.025480626131566687
108,0.02535248984884239
109,0.025407140671725437
110,0.025631988116270547
111,0.025991545350320295
112,0.025837048391987708
113,0.025194012308331466
114,0.025234735824916168
115,0.025267605636275656
116,0.024390788166161175
117,0.024423545215809726
118,0.02427277449069092
119,0.02398019126567839
120,0.023543380421510076
121,0.023919351465496407
122,0.023641743345758238
123,0.02367534049658402
124,0.023324349719662827
125,0.02343224541670412
126,0.02340009841722066
127,0.023206728057834285
128,0.02301965113519122
129,0.02279283263376247
130,0.022761675234158195
131,0.022188671927374656
132,0.02174085214053563
133,0.021622710634308567
134,0.02141837351723569
135,0.02106319069469333
136,0.021044710379440387
137,0.02076641399398622
138,0.020643313175554116
139,0.02010790306288959
140,0.019864398770445036
141,0.020155318075733935
142,0.019967005235019507
143,0.0198911087840083
144,0.019650487861194464
145,0.019821592870015396
146,0.019866371539508782
147,0.019447241250222635
148,0.01916531067814588
149,0.01846187986302888
150,0.017889584429741263
151,0.017977176435231584
152,0.017853681009790654
153,0.017730102031950426
154,0.017145527960324838
155,0.017040210117878013
156,0.017092987191901745
157,0.016921682174822816
158,0.01647459749589105
159,0.016248304595635758
160,0.016109070255062224
161,0.016068369001941713
162,0.01631902544497237
163,0.01650935230649514
164,0.0167850870373872
165,0.016628476841367274
166,0.01659000650973602
167,0.017008876072018543
168,0.016801549677777937
169,0.017015136467970763
170,0.016635316612956114
171,0.016310869551129162
172,0.016273517432992192
173,0.01570086162820716
174,0.015392992767213313
175,0.015450814855483962
176,0.015170110967088684
177,0.01570409473568513
178,0.015189720898014574
179,0.015189006607280722
180,0.0150550055502016
181,0.014721545648179186
182,0.014940490459611386
183,0.01505120426568002
184,0.014765571044798169
185,0.014696785393092719
186,0.014356879005375951
187,0.013815693161282684
188,0.013655846927328715
189,0.01346016080829802
190,0.013914071681616048
191,0.013858082912018855
192,0.013912057158596615
193,0.013287531709246141
194,0.013058740094301004
195,0.012840845039403378
196,0.012799612819519976
197,0.012825847709640405
198,0.012642466379460976
199,0.012828729331281583
200,0.012910848983670753
