schedule,peak_learning_rate,final_seeds,mean_validation_loss,std_validation_loss,mean_test_loss,std_test_loss,test_loss_bootstrap_95_low,test_loss_bootstrap_95_high
cosine,0.00075,5,0.5609566450119019,0.011210636109548033,0.5590553238987923,0.012536863018814232,0.5498148128390312,0.5696426928043365
wsd,0.00075,5,0.5854626923799515,0.014102463821026296,0.5786642163991929,0.013466024373060203,0.5693611785769462,0.5904331505298615
