condition,step,layer,seeds,mean_update_to_weight_ratio,std_update_to_weight_ratio,mean_gradient_norm,std_gradient_norm
no_warmup,12,hidden,5,0.0013087462613635091,1.0969266327098983e-05,1.3423222272452278,0.01531624195315712
no_warmup,12,hidden_norm,5,0.00011928911924643307,3.919555955977507e-06,0.12075245022899775,0.005866033659758749
no_warmup,12,input,5,0.0004696412135406128,7.991441564256429e-06,0.7296945466249606,0.024762002482245676
no_warmup,12,output,5,0.0014284031668870124,2.8194196154476357e-05,1.7773439245155391,0.02981980885287414
no_warmup,12,output_norm,5,0.000126975768813898,1.0005620125297123e-05,0.153384576176796,0.0111602974764537
no_warmup,13,hidden,5,0.0012965934830133662,1.1304889447984949e-05,1.3363273911065106,0.05005338932516931
no_warmup,13,hidden_norm,5,0.00011836643750472406,2.7184834910437914e-06,0.11778814175123964,0.012493192189688803
no_warmup,13,input,5,0.0004645675195206946,8.879243456421814e-06,0.7186694220859028,0.029122835138096506
no_warmup,13,output,5,0.0014196800941758602,2.7366096050280504e-05,1.7942017372463226,0.026822367695930122
no_warmup,13,output_norm,5,0.0001267894027864482,8.733580685691972e-06,0.15565172019860146,0.021639131862082047
no_warmup,14,hidden,5,0.0012904988291276486,8.310261112674353e-06,1.3542943767523332,0.048739056255946274
no_warmup,14,hidden_norm,5,0.00011823125566475246,2.5796424985456222e-06,0.12000022899449388,0.004761769334184796
no_warmup,14,input,5,0.0004622973233775705,8.326106866033254e-06,0.732406161986059,0.04171321843477428
no_warmup,14,output,5,0.0014149498833374938,2.3521531571086875e-05,1.7975835796397779,0.031059147413308754
no_warmup,14,output_norm,5,0.00012665953647582098,8.49083115094925e-06,0.15674000574793628,0.01294579302819787
no_warmup,15,hidden,5,0.0012855769672080108,1.135596202326154e-05,1.3561894929639124,0.045428275127432596
no_warmup,15,hidden_norm,5,0.00011820861302296482,2.3838487932578493e-06,0.11981980580718048,0.011890994081633159
no_warmup,15,input,5,0.0004597805994701063,7.5077255327117135e-06,0.7225506343722019,0.035109259040872455
no_warmup,15,output,5,0.0014080390268284095,2.28004458658644e-05,1.7830985963529578,0.05702824662139616
no_warmup,15,output_norm,5,0.0001254006854371685,8.202213873799505e-06,0.15094983500639253,0.02719525604310207
no_warmup,16,hidden,5,0.0012729542051067057,1.5933085656702432e-05,1.3076594970166107,0.07178525903521449
no_warmup,16,hidden_norm,5,0.00011623260877467953,4.696524950259399e-06,0.11301808199063752,0.010810421233188426
no_warmup,16,input,5,0.0004561749648502375,1.0054914796718595e-05,0.7165373914630383,0.0430446467256825
no_warmup,16,output,5,0.0013953505926913817,1.99852976894629e-05,1.7052029251718661,0.0891035306984544
no_warmup,16,output_norm,5,0.00012347304051603478,9.590921335436596e-06,0.14753597777308064,0.020448465671152487
no_warmup,17,hidden,5,0.0012653783683399323,1.4725890356620154e-05,1.3328924890810536,0.0687611995030215
no_warmup,17,hidden_norm,5,0.00011588245616632178,4.663369507621506e-06,0.12380331863371649,0.020646390630248933
no_warmup,17,input,5,0.00045391848862182365,8.98142334066621e-06,0.7245489471630655,0.03066917372092961
no_warmup,17,output,5,0.0013850253541517943,1.3001558794828705e-05,1.785422854193775,0.05528493064932543
no_warmup,17,output_norm,5,0.00012297430896673154,9.899060837895763e-06,0.16524582814785918,0.0340099931239467
no_warmup,18,hidden,5,0.0012608416976136658,1.1105621257563619e-05,1.3197293580971936,0.054573821665627346
no_warmup,18,hidden_norm,5,0.00011551801912056555,3.707745383241218e-06,0.11362553434606322,0.005717135084968409
no_warmup,18,input,5,0.0004520914081015383,8.669828343059182e-06,0.7132309784883939,0.03869435692803085
no_warmup,18,output,5,0.0013808522667430796,1.0225641551413812e-05,1.730615482347951,0.062986299202388
no_warmup,18,output_norm,5,0.00012219480487795368,8.913269798195535e-06,0.1432149621373741,0.01114841778610731
no_warmup,19,hidden,5,0.0012530779907552747,1.4011840803253753e-05,1.318842774816702,0.061008088260714424
no_warmup,19,hidden_norm,5,0.00011392539516830512,4.588841389072661e-06,0.1151283187571367,0.006102026427393375
no_warmup,19,input,5,0.00044873440706252686,8.820902772492445e-06,0.7099318375385438,0.02380166632247915
no_warmup,19,output,5,0.0013722546658229639,1.3520661409359464e-05,1.718613434833975,0.0641840279843754
no_warmup,19,output_norm,5,0.00011981145767492021,7.750304591391365e-06,0.14585826006785724,0.010690503628230754
no_warmup,20,hidden,5,0.0012504759313110643,1.3702988325881921e-05,1.3342969590006977,0.04628855643001423
no_warmup,20,hidden_norm,5,0.00011364197145181927,5.577525492745328e-06,0.12070727911846298,0.0036474884532245394
no_warmup,20,input,5,0.00044826859366167444,9.700803633701416e-06,0.7276663576377637,0.026511001375465904
no_warmup,20,output,5,0.0013655542854981914,1.6304569504266667e-05,1.765960498426662,0.06385544010056124
no_warmup,20,output_norm,5,0.00011863154720803196,5.318553181465669e-06,0.15228563670137565,0.010663947569271689
no_warmup,21,hidden,5,0.0012445140205823752,1.4550592330402068e-05,1.3092009653796202,0.03825376705843881
no_warmup,21,hidden_norm,5,0.00011341938266878934,5.9333378937295585e-06,0.11666665730711583,0.009810253386756649
no_warmup,21,input,5,0.00044620794608522254,9.062161753502088e-06,0.704200835457344,0.02693083716471045
no_warmup,21,output,5,0.0013591771446931837,1.89954808801467e-05,1.7166741798080192,0.07452667583984311
no_warmup,21,output_norm,5,0.00011777930641701151,5.800907385745916e-06,0.14642340553309435,0.016779626086165584
no_warmup,22,hidden,5,0.0012362906348029109,1.8963195044191147e-05,1.2840579516288764,0.06601777597104858
no_warmup,22,hidden_norm,5,0.0001118005537820634,5.969440261911343e-06,0.11633631344241908,0.007000969266907256
no_warmup,22,input,5,0.00044332326088244924,1.0637927867913247e-05,0.6988270873428799,0.04688883297328837
no_warmup,22,output,5,0.0013494957152387398,2.3964083994701923e-05,1.690243280170415,0.06421936700576558
no_warmup,22,output_norm,5,0.00011560869698752434,5.898834193944718e-06,0.15057360244912615,0.014071075367581542
no_warmup,23,hidden,5,0.0012256716224959114,1.951581890752361e-05,1.2743218050779341,0.03563900625592198
no_warmup,23,hidden_norm,5,0.00011016459819029589,5.884056413814877e-06,0.1094342663464662,0.007459102002276051
no_warmup,23,input,5,0.00044026534432690885,1.0714388220811097e-05,0.686951414133188,0.012364902115714513
no_warmup,23,output,5,0.0013402114540179983,2.453138389736616e-05,1.664835018287088,0.0405064283645912
no_warmup,23,output_norm,5,0.00011430533988513319,6.912370612943284e-06,0.13832331455958663,0.01499417913542351
no_warmup,24,hidden,5,0.0012188898655240547,1.753966087111709e-05,1.2823430309138306,0.0324471652546923
no_warmup,24,hidden_norm,5,0.00010982835939413174,5.354223242151826e-06,0.11456951575929657,0.003476275815128209
no_warmup,24,input,5,0.0004384540996270417,1.0318116553429284e-05,0.703245935103768,0.021532859204123476
no_warmup,24,output,5,0.0013329564887405326,2.3250772388997676e-05,1.6783898319176682,0.034879311670364704
no_warmup,24,output_norm,5,0.00011284706274058969,6.026562614564559e-06,0.14221041965936757,0.007408197314902271
no_warmup,25,hidden,5,0.0012102173759189427,1.5024412822629136e-05,1.2686982830722708,0.04445291951479973
no_warmup,25,hidden_norm,5,0.00010877211869264573,5.165705900924104e-06,0.11847734605100683,0.006051454047251552
no_warmup,25,input,5,0.0004358642996316743,1.0822489063102926e-05,0.6923711675958524,0.022757318712982994
no_warmup,25,output,5,0.0013232751320145252,2.2354747803978283e-05,1.6627646844799124,0.052608818382142986
no_warmup,25,output_norm,5,0.00011248806587844267,6.845936702652047e-06,0.1599874911380236,0.012147448198575312
no_warmup,26,hidden,5,0.0012051479336931373,1.5388854830399323e-05,1.2740333100536663,0.03958500703874072
no_warmup,26,hidden_norm,5,0.00010824787405203547,5.04030994997798e-06,0.11330761230732615,0.010715361849633108
no_warmup,26,input,5,0.0004337192515993969,1.0923450956789177e-05,0.6870684336204282,0.036449430812323
no_warmup,26,output,5,0.0013186645899282785,2.6660973593551305e-05,1.6810804151150012,0.07035232936343001
no_warmup,26,output_norm,5,0.00011161085556786566,6.215116769804826e-06,0.14240053165299874,0.01687940904075008
no_warmup,27,hidden,5,0.0012027696164074216,1.1264793743393811e-05,1.2865133519250143,0.04882068915669211
no_warmup,27,hidden_norm,5,0.00010793844791944212,5.879497565474597e-06,0.11967587052231854,0.008486438902973577
no_warmup,27,input,5,0.00043257340235925475,9.116297294534392e-06,0.6940227292383863,0.03087572478505815
no_warmup,27,output,5,0.0013165618189672512,2.5356676748979897e-05,1.6793308841294263,0.03073868899126258
no_warmup,27,output_norm,5,0.00011142506018838443,6.654584821008339e-06,0.14448344219100542,0.015837328757088202
no_warmup,28,hidden,5,0.0011983326688803245,1.0865202466303289e-05,1.2613131018540202,0.05467653314946312
no_warmup,28,hidden_norm,5,0.00010746288963035774,5.765699063931164e-06,0.11219220319914816,0.005537729623919793
no_warmup,28,input,5,0.00043097489025431014,8.957508886060577e-06,0.6859660531146476,0.044574083961711385
no_warmup,28,output,5,0.0013134544830321958,1.836314212002011e-05,1.65443770280081,0.04607722340555545
no_warmup,28,output_norm,5,0.00011056543385977505,6.916293001187115e-06,0.1360638042229543,0.016277670770516492
no_warmup,29,hidden,5,0.001190248408790695,1.3389868702057408e-05,1.235269259097095,0.06045696283444887
no_warmup,29,hidden_norm,5,0.00010612003059492086,6.073503407179087e-06,0.10460693100722748,0.006842986964428314
no_warmup,29,input,5,0.000428083489572687,7.903369565631695e-06,0.6725206809923124,0.025051460864762086
no_warmup,29,output,5,0.0013047867540312461,1.9799027504990823e-05,1.608172221014275,0.06898238678501294
